Card ID,Card Name,Card URL,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived
5b61e45553a1a55eafad4fa3,Service Layer,https://trello.com/c/DAEb4Sh5/57-service-layer,,,,0,,0,0,0,0,2018-08-01T16:48:21.627Z,5b61e45553a1a55eafad4f55,Icebox,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4f8a,OCP/Final Mock,https://trello.com/c/pqYGDrM4/32-ocp-final-mock,,,,0,,0,0,0,0,2018-08-01T16:48:21.459Z,5b61e45553a1a55eafad4f56,Day 1 -,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4f6b,WebIntro,https://trello.com/c/EfkY8tRt/1-webintro,Rob (green),,,0,,0,0,0,0,2018-08-06T19:02:28.630Z,5b61e45553a1a55eafad4f56,Day 1 -,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4f6c,HTML Basics,https://trello.com/c/WLpI7p8M/2-html-basics,Rob (green),,,0,,0,0,0,0,2018-08-02T22:35:05.188Z,5b61e45553a1a55eafad4f56,Day 1 -,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4faa,HTML Self-Study,https://trello.com/c/2r72fg98/64-html-self-study,Rob (green),,,0,,0,0,0,0,2018-08-02T22:35:11.304Z,5b61e45553a1a55eafad4f56,Day 1 -,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4f6d,HTML Assessment,https://trello.com/c/urTKEzpN/3-html-assessment,Rob (green),,,0,,0,0,0,0,2018-08-02T22:35:16.956Z,5b61e45553a1a55eafad4f57,Day 2 - Tuesday 8/7,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4f6e,CSS Basics,https://trello.com/c/Q3GT8ET1/4-css-basics,Rob (green),,,0,,0,0,0,0,2018-08-02T22:35:21.557Z,5b61e45553a1a55eafad4f57,Day 2 - Tuesday 8/7,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4f6f,CSS Assessment,https://trello.com/c/gi3ezCW1/5-css-assessment,Rob (green),,,0,,0,0,0,0,2018-08-02T22:35:26.160Z,5b61e45553a1a55eafad4f57,Day 2 - Tuesday 8/7,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4fab,Create AWS Accounts,https://trello.com/c/8rwew8zA/65-create-aws-accounts,Rob (green),,,0,,0,0,0,0,2018-08-02T22:35:32.422Z,5b61e45553a1a55eafad4f57,Day 2 - Tuesday 8/7,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
5b61e45553a1a55eafad4f70,Review HTML/CSS,https://trello.com/c/WCUbSWpu/6-review-html-css,In Class (blue),,,0,,0,0,0,0,2018-08-01T16:48:21.303Z,5b61e45553a1a55eafad4f58,Day 3 - Wednesday 8/8,5b61e45553a1a55eafad4f54,Unit2Schedule - SD16,false
